t_num,hash_num,cx,cy,color
209,,869.09,1511.05,orange
216,,841.17,1474.64,orange
,505,869.13,1407.42,blue
217,,950.17,1382.23,orange
219,,986.5,1379.44,orange
220,,986.5,1379.44,orange
218,,992.09,1357.03,orange
,500,1020.04,1348.63,blue
221,,1017.24,1365.44,orange
208,,944.56,1460.65,orange
201,,1064.7,1474.67,orange
,496,997.63,1513.87,blue
,495,1006.0,1527.88,blue
,494,997.63,1513.87,blue
206,,980.85,1553.08,orange
205,,1014.37,1558.69,blue
,490,1014.37,1558.69,blue
203,,1031.14,1567.09,orange
202,,1064.67,1550.29,orange
76,,1184.85,1477.49,orange
77,,1226.77,1457.89,orange
,485,1268.65,1530.72,blue
,484,1268.65,1530.72,blue
79,,1299.39,1536.32,orange
78,,1268.64,1569.93,orange
104,,1276.98,1673.56,orange
103,,1304.93,1648.35,orange
101,,1363.64,1581.15,orange
107,,1385.92,1774.4,orange
106,,1397.13,1693.18,orange
105,,1416.67,1729.59,orange
,475,1455.8,1695.99,blue
,474,1489.35,1656.78,blue
56,,1550.83,1628.79,orange
,472,1637.48,1544.78,blue
54,,1612.33,1541.97,orange
50,,1615.14,1508.37,orange
53,,1573.21,1555.97,orange
55,,1534.08,1581.17,orange
,466,1486.58,1586.77,blue
,465,1486.58,1586.77,blue
,464,1478.2,1575.56,blue
,463,1464.23,1578.36,blue
,462,1422.33,1547.55,blue
,461,1427.91,1567.15,blue
,460,1419.54,1525.14,blue
,459,1402.78,1502.73,blue
,458,1402.78,1502.73,blue
,457,1402.78,1502.73,blue
,456,1391.61,1508.33,blue
,455,1355.29,1488.72,blue
,454,1285.47,1387.88,blue
,453,1288.26,1401.89,blue
74,,1193.27,1376.67,orange
73,,1131.81,1329.05,orange
70,,1092.74,1208.61,orange
,449,911.13,1166.57,blue
223,,855.24,1200.17,orange
,447,818.92,1186.16,blue
,446,782.6,1160.95,blue
227,,701.57,1172.14,orange
228,,631.71,1194.53,orange
234,,570.23,1216.93,orange
233,,508.74,1256.13,orange
,441,408.14,1278.52,blue
,440,469.62,1261.73,blue
,437,329.89,1331.72,blue
,436,257.23,1345.71,blue
312,,335.45,1401.74,orange
315,,287.94,1418.54,orange
,433,243.23,1424.13,blue
,432,254.41,1435.34,blue
,431,237.64,1440.93,blue
,430,234.84,1466.14,blue
314,,282.33,1485.75,orange
317,,240.42,1488.55,orange
318,,259.97,1508.16,orange
319,,245.99,1527.76,orange
320,,248.78,1550.16,orange
322,,282.31,1536.17,orange
323,,240.38,1578.17,orange
321,,265.54,1564.17,orange
325,,262.73,1589.38,orange
326,,299.05,1617.39,orange
324,,245.96,1603.38,orange
328,,273.88,1665.0,orange
332,,271.08,1690.2,orange
327,,254.32,1676.2,orange
333,,271.08,1690.2,orange
334,,262.69,1707.01,orange
335,,243.13,1718.21,orange
337,,248.71,1740.61,orange
353,,391.14,1914.28,orange
347,,357.62,1900.27,orange
340,,248.7,1768.62,orange
339,,257.07,1785.42,orange
341,,248.68,1805.03,orange
342,,271.03,1813.43,orange
343,,254.26,1821.83,orange
345,,282.2,1827.44,orange
348,,282.2,1827.44,orange
344,,254.26,1841.44,orange
346,,259.84,1863.84,orange
349,,234.68,1880.65,orange
350,,248.65,1883.45,orange
351,,259.82,1897.45,orange
356,,293.35,1905.86,orange
357,,268.19,1936.66,orange
358,,268.19,1956.27,orange
361,,231.86,1967.47,orange
360,,240.23,1984.27,orange
352,,290.53,1967.48,orange
365,,287.73,2003.88,orange
362,,265.37,2006.68,orange
366,,237.41,2057.09,orange
363,,243.01,2037.49,orange
367,,254.18,2057.09,orange
364,,270.95,2048.69,orange
368,,273.73,2068.3,orange
370,,321.23,2065.51,orange
369,,270.93,2087.9,orange
,382,240.2,2082.3,blue
414,,245.78,2101.9,orange
418,,262.54,2110.31,orange
371,,293.28,2090.71,orange
415,,276.51,2113.11,orange
413,,276.51,2113.11,orange
417,,287.68,2129.92,orange
416,,284.88,2149.52,orange
421,,296.05,2171.93,orange
420,,307.23,2152.33,orange
424,,312.81,2177.53,orange
427,,335.15,2208.34,orange
422,,335.15,2208.34,orange
428,,349.11,2236.35,orange
423,,349.14,2152.33,orange
425,,377.08,2163.54,orange
426,,430.16,2202.76,orange
429,,393.81,2264.37,orange
,364,432.92,2292.38,blue
437,,508.36,2292.39,orange
436,,466.44,2323.19,orange
440,,499.96,2345.6,orange
439,,466.42,2356.8,orange
434,,491.57,2373.61,orange
433,,418.92,2362.4,orange
435,,458.02,2415.62,orange
,356,471.98,2446.43,blue
