Original #,S #,Fieldwire #,Species,Botanical Name,DBH (cm),Condition,Ownership,Direction,TPZ (m),Permit Required,Building Section,Fieldwire Photo,Notes,Status
586,112,,Deciduous,,8,Good,RNFP,,,,,586.jpg,Healthy sapling,REVIEW
591,116,,Deciduous,,25,Fair,RNFP,,,,,591.jpg,Healthy deciduous,REVIEW
594,119,,Eastern White Cedar,,13,Good,RNFP,,,,,594.jpg,Healthy eastern white cedar,REVIEW
595,120,,Deciduous,,15,Good,RNFP,,,,,595.jpg,Healthy deciduous,REVIEW
610,123,,Deciduous,,8,Good,RNFP,,,,,610.jpg,Healthy sapling,REVIEW
615,128,,Deciduous,,13,Fair,RNFP,,,,,615.jpg,Healthy deciduous,REVIEW
624,137,,Conifer,,13,Good,RNFP,,,,,"624.jpg, 624_2.jpg",Healthy conifer,REVIEW
625,138,,Conifer,,13,Good,RNFP,,,,,625.jpg,Healthy conifer,REVIEW
626,139,,Conifer,,40,Good,RNFP,,,,,626.jpg,Healthy conifer,REVIEW
635,141,,Conifer,,50,Good,RNFP,,,,,635.jpg,Healthy conifer,REVIEW
639,142,,Conifer,,60,Good,RNFP,,,,,"639.jpg, 639_2.jpg",Healthy conifer,REVIEW
679,151,,Deciduous,,20,Fair,RNFP,,,,,"679.jpg, 679_2.jpg",Healthy deciduous,REVIEW
682,154,,Conifer,,30,Good,RNFP,,,,,"682.jpg, 682_2.jpg",Healthy sapling,REVIEW
684,156,,Deciduous,,12,Good,RNFP,,,,,684.jpg,Healthy deciduous,REVIEW
686,158,,Conifer,,50,Good,RNFP,,,,,686.jpg,Healthy conifer,REVIEW
689,161,,Conifer,,50,Good,RNFP,,,,,"689.jpg, 689_2.jpg",Healthy conifer,REVIEW
690,162,,Conifer,,50,Good,RNFP,,,,,"690.jpg, 690_2.jpg",Healthy conifer,REVIEW
693,165,,Conifer,,40,Fair,RNFP,,,,,"693.jpg, 693_2.jpg",Healthy conifer,REVIEW
704,176,,Deciduous,,8,Good,RNFP,,,,,704.jpg,Healthy sapling,REVIEW
707,179,,Deciduous,,8,Good,RNFP,,,,,707.jpg,Healthy sapling,REVIEW
709,181,,Deciduous,,8,Good,RNFP,,,,,709.jpg,Healthy sapling,REVIEW
711,182,,Deciduous,,8,Good,RNFP,,,,,711.jpg,Healthy sapling,REVIEW
712,183,,Deciduous,,8,Good,RNFP,,,,,712.jpg,Healthy sapling,REVIEW
713,184,,Deciduous,,10,Good,RNFP,,,,,713.jpg,Healthy sapling,REVIEW
714,185,,Deciduous,,6,Good,RNFP,,,,,714.jpg,Healthy sapling,REVIEW
717,186,,Conifer,,8,Good,RNFP,,,,,717.jpg,Healthy sapling,REVIEW
718,187,,Deciduous,,10,Good,RNFP,,,,,718.jpg,Healthy sapling,REVIEW
720,189,,Deciduous,,6,Good,RNFP,,,,,720.jpg,Healthy sapling,REVIEW
356,190,,Conifer,,25,Fair,RNFP,,,,,356.jpg,Healthy conifer,REVIEW
382,191,,Eastern White Pine,,35,Good,RNFP,,,,,"382.jpg, 382_2.jpg",Healthy eastern white pine,REVIEW
432,192,,Deciduous,,20,Fair,RNFP,,,,,"432.jpg, 432_2.jpg",Healthy deciduous,REVIEW
433,193,,Conifer,,14,Good,RNFP,,,,,"433.jpg, 433_2.jpg",Healthy conifer,REVIEW
440,194,,Deciduous,,20,Fair,RNFP,,,,,440.jpg,Healthy deciduous,REVIEW
446,195,,Deciduous,,25,Fair,RNFP,,,,,"446.jpg, 446_2.jpg",Healthy deciduous,REVIEW
449,196,,Deciduous,,20,Good,RNFP,,,,,"449.jpg, 449_2.jpg",Healthy deciduous,REVIEW
454,197,,Deciduous,,12,Good,RNFP,,,,,454.jpg,Healthy sapling,REVIEW
461,198,,Deciduous,,8,Good,RNFP,,,,,461.jpg,Healthy sapling,REVIEW
462,199,,Deciduous,,5,Good,RNFP,,,,,462.jpg,Healthy sapling,REVIEW
463,200,,Eastern White Cedar,,10,Good,RNFP,,,,,463.jpg,Healthy sapling,REVIEW
464,201,,Eastern White Cedar,,10,Good,RNFP,,,,,464.jpg,Healthy sapling,REVIEW
465,202,,Eastern White Cedar,,10,Good,RNFP,,,,,465.jpg,Healthy sapling,REVIEW
466,203,,Paper Birch,,18,Good,RNFP,,,,,"466.jpg, 466_2.jpg",Healthy paper birch,REVIEW
474,204,,Blue Spruce,,25,Good,RNFP,,,,,474.jpg,Healthy blue spruce,REVIEW
475,205,,Deciduous,,55,Good,RNFP,,,,,475.jpg,Healthy deciduous,REVIEW
490,206,,Deciduous,,15,Fair,RNFP,,,,,"490.jpg, 490_2.jpg",Healthy deciduous,REVIEW
500,207,,Conifer,,30,Good,RNFP,,,,,500.jpg,Healthy conifer,REVIEW
509,208,,Deciduous,,12,Fair,RNFP,,,,,509.jpg,Healthy deciduous,REVIEW
511,209,,Deciduous,,10,Fair,RNFP,,,,,511.jpg,Healthy sapling,REVIEW
512,210,,Shrub,,11,Fair,RNFP,,,,,512.jpg,Healthy shrub,REVIEW
513,211,,Deciduous,,8,Good,RNFP,,,,,513.jpg,Healthy sapling,REVIEW
514,212,,Deciduous,,8,Good,RNFP,,,,,514.jpg,Healthy sapling,REVIEW
519,213,,Conifer,,20,Fair,RNFP,,,,,519.jpg,Healthy conifer,REVIEW
520,214,,Conifer,,35,Good,RNFP,,,,,520.jpg,Healthy conifer,REVIEW
521,215,,Paper Birch,,12,Good,RNFP,,,,,521.jpg,Healthy paper birch,REVIEW
522,216,,Eastern White Cedar,,11,Good,RNFP,,,,,522.jpg,Healthy eastern white cedar,REVIEW
523,217,,Eastern White Cedar,,11,Good,RNFP,,,,,523.jpg,Healthy eastern white cedar,REVIEW
524,218,,Eastern White Cedar,,11,Good,RNFP,,,,,524.jpg,Healthy eastern white cedar,REVIEW
525,219,,Deciduous,,8,Fair,RNFP,,,,,525.jpg,Healthy sapling,REVIEW
526,220,,Deciduous,,10,Good,RNFP,,,,,"526.jpg, 526_2.jpg",Healthy sapling,REVIEW
527,221,,Paper Birch,,15,Good,RNFP,,,,,527.jpg,Healthy paper birch,REVIEW
528,222,,Deciduous,,8,Fair,RNFP,,,,,"528.jpg, 528_2.jpg",Healthy sapling,REVIEW
552,223,,Deciduous,,12,Good,RNFP,,,,,552.jpg,Healthy deciduous,REVIEW
553,224,,Blue Spruce,,11,Good,RNFP,,,,,553.jpg,Healthy blue spruce,REVIEW
554,225,,Conifer,,11,Good,RNFP,,,,,554.jpg,Healthy conifer,REVIEW
555,226,,Eastern White Cedar,,11,Good,RNFP,,,,,555.jpg,Healthy eastern white cedar,REVIEW
556,227,,Eastern White Cedar,,11,Good,RNFP,,,,,556.jpg,Healthy eastern white cedar,REVIEW
557,228,,Blue Spruce,,11,Good,RNFP,,,,,557.jpg,Healthy blue spruce,REVIEW
559,229,,Deciduous,,10,Good,RNFP,,,,,559.jpg,Healthy sapling,REVIEW
560,230,,Deciduous,,8,Fair,RNFP,,,,,560.jpg,Healthy sapling,REVIEW
562,231,,Deciduous,,50,Good,RNFP,,,,,562.jpg,Healthy deciduous,REVIEW
564,232,,Deciduous,,8,Fair,RNFP,,,,,564.jpg,Healthy sapling,REVIEW
565,233,,Deciduous,,60,Good,RNFP,,,,,565.jpg,Healthy deciduous,REVIEW
566,234,,Paper Birch,,25,Good,RNFP,,,,,566.jpg,Healthy paper birch,REVIEW
568,235,,Deciduous,,12,Fair,RNFP,,,,,568.jpg,Healthy deciduous,REVIEW
580,236,,Deciduous,,8,Fair,RNFP,,,,,580.jpg,Healthy sapling,REVIEW
583,237,,Paper Birch,,15,Good,RNFP,,,,,583.jpg,Healthy paper birch,REVIEW
593,238,,Deciduous,,12,Good,RNFP,,,,,593.jpg,Healthy deciduous,REVIEW
601,239,,Eastern White Cedar,,12,Fair,RNFP,,,,,601.jpg,Healthy eastern white cedar,REVIEW
604,240,,Eastern White Cedar,,10,Fair,RNFP,,,,,604.jpg,Healthy sapling,REVIEW
606,241,,Eastern White Cedar,,10,Fair,RNFP,,,,,606.jpg,Healthy sapling,REVIEW
608,242,,Eastern White Cedar,,12,Fair,RNFP,,,,,608.jpg,Healthy eastern white cedar,REVIEW
614,243,,Conifer,,20,Good,RNFP,,,,,614.jpg,Healthy conifer,REVIEW
630,244,,Deciduous,,8,Good,RNFP,,,,,630.jpg,Healthy sapling,REVIEW
631,245,,Deciduous,,15,Good,RNFP,,,,,631.jpg,Healthy deciduous,REVIEW
632,246,,Blue Spruce,,15,Good,RNFP,,,,,632.jpg,Healthy blue spruce,REVIEW
633,247,,Deciduous,,8,Good,RNFP,,,,,633.jpg,Healthy sapling,REVIEW
636,248,,Eastern White Pine,,35,Good,RNFP,,,,,636.jpg,Healthy eastern white pine,REVIEW
637,249,,Eastern White Pine,,45,Good,RNFP,,,,,637.jpg,Healthy eastern white pine,REVIEW
638,250,,Deciduous,,30,Good,RNFP,,,,,638.jpg,Healthy deciduous,REVIEW
640,251,,Eastern White Pine,,50,Good,RNFP,,,,,640.jpg,Healthy eastern white pine,REVIEW
641,252,,Blue Spruce,,20,Good,RNFP,,,,,641.jpg,Healthy blue spruce,REVIEW
642,253,,Blue Spruce,,20,Fair,RNFP,,,,,642.jpg,Healthy blue spruce,REVIEW
651,254,,Eastern White Pine,,35,Good,RNFP,,,,,651.jpg,Healthy eastern white pine,REVIEW
652,255,,Eastern White Pine,,40,Good,RNFP,,,,,652.jpg,Healthy eastern white pine,REVIEW
653,256,,Eastern White Pine,,35,Good,RNFP,,,,,653.jpg,Healthy eastern white pine,REVIEW
654,257,,Eastern White Pine,,45,Good,RNFP,,,,,654.jpg,Healthy eastern white pine,REVIEW
655,258,,Eastern White Pine,,40,Good,RNFP,,,,,655.jpg,Healthy eastern white pine,REVIEW
656,259,,Deciduous,,25,Good,RNFP,,,,,656.jpg,Healthy deciduous,REVIEW
657,260,,Deciduous,,25,Good,RNFP,,,,,657.jpg,Healthy deciduous,REVIEW
658,261,,Deciduous,,10,Fair,RNFP,,,,,658.jpg,Healthy sapling,REVIEW
659,262,,Paper Birch,,12,Good,RNFP,,,,,659.jpg,Healthy paper birch,REVIEW
660,263,,Deciduous,,8,Good,RNFP,,,,,660.jpg,Healthy sapling,REVIEW
663,264,,Conifer,,25,Good,RNFP,,,,,663.jpg,Healthy conifer,REVIEW
667,265,,Deciduous,,20,Fair,RNFP,,,,,667.jpg,Healthy deciduous,REVIEW
672,266,,Conifer,,35,Good,RNFP,,,,,"672.jpg, 672_2.jpg",Healthy conifer,REVIEW
673,267,,Conifer,,30,Good,RNFP,,,,,"673.jpg, 673_2.jpg",Healthy conifer,REVIEW
674,268,,Conifer,,25,Fair,RNFP,,,,,"674.jpg, 674_2.jpg",Healthy conifer,REVIEW
675,269,,Conifer,,25,Good,RNFP,,,,,675.jpg,Healthy conifer,REVIEW
680,270,,Deciduous,,8,Good,RNFP,,,,,680.jpg,Healthy sapling,REVIEW
685,271,,Conifer,,20,Good,RNFP,,,,,685.jpg,Healthy conifer,REVIEW
692,272,,Conifer,,25,Good,RNFP,,,,,692.jpg,Healthy conifer,REVIEW
706,273,,Deciduous,,8,Good,RNFP,,,,,706.jpg,Healthy sapling,REVIEW
719,274,,Deciduous,,8,Good,RNFP,,,,,719.jpg,Healthy sapling,REVIEW
484,62,,Conifer,,12,Poor,RNFP,,,,,484.jpg,Needs assessment — Leaning dead branches,REVIEW - ACTION
544,95,,Deciduous,,20,Poor,RNFP,,,,,544.jpg,Needs assessment — Severe lean building contact,REVIEW - ACTION
